Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Eddy Curry - 2001,"6' 10.5""",NA,301,"7' 6.5""","9' 3""",NA,0,0,28,"11' 7""",31,"11' 10""",16,12.25,3.53,59,4
B.J. Mullens - 2009,"6' 11.75""","7' 1.25""",258,"7' 1.5""","9' 3""",8.5,0,0,28.5,"11' 7.5""",32.5,"11' 11.5""",10,11.1,3.45,NA,24
Hamady N'Diaye - 2010,"6' 10.5""",NA,233,"7' 6""","9' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,56
Dexter Pittman - 2010,"6' 9.5""","6' 11.5""",303,"7' 6""","9' 3""",20.8,10.25,10.5,NA,NA,NA,NA,NA,NA,NA,NA,32
Isaiah Austin - 2010,"7' 0""",NA,201,"7' 3""","9' 3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Lapeta - 2009,"7' 0.25""","7' 1.5""",283,"7' 1.5""","9' 3""",NA,0,0,24,"11' 3""",30,"11' 9""",NA,NA,3.71,NA,No
Vyacheslav Kravtsov - 2009,"6' 7""","6' 8""",235,"7' 2.5""","9' 3""",NA,0,0,31,"11' 10""",37,"12' 4""",NA,NA,3.58,NA,No
Jessie Govan - 2013,"6' 9""","6' 10""",263,"7' 3""","9' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Lucas Mariano - 2013,"6' 9""","6' 10""",270,"7' 3""","9' 3""",NA,0,0,20,"10' 11""",26,"11' 5""",NA,12.37,3.51,NA,No
Jahlil Okafor - 2013,"6' 9.5""","6' 11""",277,"7' 6.25""","9' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
Jahlil Okafor - 2013,NA,"6' 10.75""",273,"7' 6""","9' 3""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
Nikola Jokic - 2014,NA,"6' 11""",253,"7' 3""","9' 3""",NA,8.75,8.75,NA,NA,NA,NA,NA,NA,NA,NA,41
