,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
58,58,1990-02-28,,SAC,W,113,92,45,92,.489,0,1,.000,23,27,.852,15,52,32,14,4,22,30,,35,80,.438,1,6,.167,21,29,.724,8,34,25,12,4,28,24
59,59,1990-03-02,,BOS,L,110,122,50,98,.510,2,4,.500,8,17,.471,8,35,33,11,4,13,25,,47,85,.553,2,6,.333,26,30,.867,12,45,31,10,8,20,12
60,60,1990-03-05,,UTA,W,105,104,43,87,.494,1,2,.500,18,22,.818,8,35,29,12,3,13,24,,39,83,.470,1,9,.111,25,30,.833,12,45,26,11,7,20,18
61,61,1990-03-07,,ORL,W,122,105,50,92,.543,0,1,.000,22,36,.611,23,57,31,8,8,20,26,,38,91,.418,0,1,.000,29,36,.806,13,34,23,11,5,14,26
62,62,1990-03-11,,NYK,L,90,106,39,90,.433,2,7,.286,10,18,.556,15,38,23,9,1,22,22,,41,78,.526,3,8,.375,21,26,.808,12,44,28,15,6,22,18
63,63,1990-03-13,@,SAC,L,87,121,35,89,.393,3,5,.600,14,17,.824,12,44,23,7,3,21,33,,45,86,.523,2,7,.286,29,43,.674,10,49,30,14,5,16,19
64,64,1990-03-14,@,LAC,W,113,108,46,96,.479,1,2,.500,20,31,.645,16,48,21,15,4,19,25,,45,82,.549,0,1,.000,18,28,.643,5,37,30,17,9,27,25
65,65,1990-03-16,@,PHO,L,103,129,45,94,.479,0,2,.000,13,21,.619,13,42,28,5,2,13,32,,48,91,.527,1,5,.200,32,44,.727,17,47,33,8,5,9,22
66,66,1990-03-17,@,SAS,L,98,111,39,85,.459,4,8,.500,16,26,.615,11,48,28,8,4,23,33,,37,92,.402,0,0,,37,49,.755,18,51,26,15,10,14,21
67,67,1990-03-20,,IND,L,98,112,37,91,.407,1,8,.125,23,30,.767,15,48,24,7,3,16,24,,41,87,.471,5,11,.455,25,27,.926,12,51,25,10,3,14,26
68,68,1990-03-21,@,PHI,L,97,118,40,97,.412,2,3,.667,15,19,.789,23,53,26,8,5,17,24,,43,78,.551,4,9,.444,28,36,.778,8,37,31,9,7,15,19
